  Bajè;Komárno
  Bátorove Kosihy;Komárno
  Bodza;Komárno
  Bodzianske Lúky;Komárno
  Brestovec;Komárno
  Búè;Komárno
  Èalovec;Komárno
  Èíèov;Komárno
  Dedina Mládee;Komárno
  Dulovce;Komárno
  Holiare;Komárno
  Hurbanovo;Komárno
  Chotín;Komárno
  Ime¾;Komárno
  Ia;Komárno
  Kamenièná;Komárno
  Klíska Nemá;Komárno
  Kolárovo;Komárno
  Komárno;Komárno
  Kravany nad Dunajom;Komárno
  Lipové;Komárno
  Marcelová;Komárno
  Martovce;Komárno
  Moèa;Komárno
  Modrany;Komárno
  Mudroòovo;Komárno
  Nesvady;Komárno
  Okolièná na Ostrove;Komárno
  Patince;Komárno
  Pribeta;Komárno
  Radvaò nad Dunajom;Komárno
  Sokolce;Komárno
  Svätı Peter;Komárno
  Šrobárová;Komárno
  Tôò;Komárno
  Trávnik;Komárno
  Ve¾ké Kosihy;Komárno
  Virt;Komárno
  Vrbová nad Váhom;Komárno
  Zemianska Olèa;Komárno
  Zlatná na Ostrove;Komárno
  Bajka;Levice
  Bátovce;Levice
  Beša;Levice
  Bielovce;Levice
  Bohunice;Levice
  Bory;Levice
  Brhlovce;Levice
  Èajkov;Levice
  Èaka;Levice
  Èata;Levice
  Demandice;Levice
  Devièany;Levice
  Dolná Seè;Levice
  Dolné Semerovce;Levice
  Dolnı Pial;Levice
  Domadice;Levice
  Drenice;Levice
  Farná;Levice
  Hokovce;Levice
  Hontianska Vrbica;Levice
  Hontianske Trsany;Levice
  Horná Seè;Levice
  Horné Semerovce;Levice
  Horné Turovce;Levice
  Hornı Pial;Levice
  Hrkovce;Levice
  Hronovce;Levice
  Hronské K¾aèany;Levice
  Hronské Kosihy;Levice
  Iòa;Levice
  Ipe¾ské Ú¾any;Levice
  Ipe¾skı Sokolec;Levice
  Jabloòovce;Levice
  Jesenské;Levice
  Jur nad Hronom;Levice
  Kalná nad Hronom;Levice
  Ke;Levice
  Kozárovce;Levice
  Krškany;Levice
  Kubáòovo;Levice
  Kukuèínov;Levice
  Kura¾any;Levice
  Levice;Levice
